Year,Player,Club,Goals,Appearances
12/13, Cristiano Ronaldo ,Real Madrid CF, 12 goals ,12 appearances
13/14, Cristiano Ronaldo ,Real Madrid CF, 17 goals ,11 appearances
14/15, Cristiano Ronaldo ,Real Madrid CF, 10 goals ,12 appearances
15/16, Cristiano Ronaldo ,Real Madrid CF, 16 goals ,12 appearances
16/17, Cristiano Ronaldo ,Real Madrid CF, 12 goals ,13 appearances
17/18, Cristiano Ronaldo ,Real Madrid CF, 15 goals ,13 appearances
18/19, Lionel Messi ,FC Barcelona, 12 goals ,10 appearances
19/20, Robert Lewandowski ,FC Bayern MÃ¼nchen, 15 goals ,10 appearances
20/21, Erling Haaland ,Borussia Dortmund, 10 goals ,8 appearances
21/22, Karim Benzema ,Real Madrid CF, 15 goals ,12 appearance
